code,name,share1,industry,share2
1101,台泥,0.79%,水泥工業,1.19%
1102,亞泥,0.40%,水泥工業,1.19%
1216,統一,1.92%,食品工業,1.92%
1301,台塑,2.92%,塑膠工業,7.73%
1303,南亞塑膠,2.67%,塑膠工業,7.73%
1326,台化,2.14%,塑膠工業,7.73%
1402,遠東新,0.64%,紡織纖維,0.64%
2002,中鋼,1.86%,鋼鐵工業,1.86%
2105,正新,0.59%,橡膠工業,0.59%
2207,和泰汽車,0.87%,汽車工業,0.87%
2633,台灣高鐵,0.30%,航運業,0.30%
2801,彰銀,0.59%,金融保險業,16.92%
2823,中壽,0.45%,金融保險業,16.92%
2880,華南金,0.84%,金融保險業,16.92%
2881,富邦金,2.27%,金融保險業,16.92%
2882,國泰金,2.56%,金融保險業,16.92%
2883,開發金,0.86%,金融保險業,16.92%
2884,玉山金,1.11%,金融保險業,16.92%
2885,元大金,0.96%,金融保險業,16.92%
2886,兆豐金,1.59%,金融保險業,16.92%
2887,台新金,0.80%,金融保險業,16.92%
2890,永豐金,0.60%,金融保險業,16.92%
2891,中信金,2.26%,金融保險業,16.92%
2892,第一金,1.14%,金融保險業,16.92%
5880,合庫,0.89%,金融保險業,16.92%
2912,統一超,0.97%,貿易百貨,0.97%
9904,寶成工業,0.62%,其他,0.62%
6505,台塑石化,0.96%,油電燃氣業,0.96%
2303,聯電,1.02%,半導體業,39.71%
2311,日月光,1.52%,半導體業,39.71%
2325,矽品,0.67%,半導體業,39.71%
2330,台積電,33.53%,半導體業,39.71%
2408,南亞科,0.34%,半導體業,39.71%
2454,聯發科,2.63%,半導體業,39.71%
2301,光寶科技,0.53%,電腦及週邊設備業,4.62%
2324,仁寶電腦,0.53%,電腦及週邊設備業,4.62%
2357,華碩,1.20%,電腦及週邊設備業,4.62%
2382,廣達,1.00%,電腦及週邊設備業,4.62%
2395,研華,0.48%,電腦及週邊設備業,4.62%
4938,和碩,0.88%,電腦及週邊設備業,4.62%
2409,友達,0.66%,光電業,3.81%
3008,大立光,2.50%,光電業,3.81%
3481,群創光電,0.65%,光電業,3.81%
2412,中華電,2.45%,通信網路業,4.20%
3045,台灣大,1.04%,通信網路業,4.20%
4904,遠傳,0.71%,通信網路業,4.20%
2308,台達電,1.89%,電子零組件業,1.89%
2317,鴻海,8.64%,其他電子業,10.68%
2354,鴻準,0.57%,其他電子業,10.68%
2474,可成科技,1.47%,其他電子業,10.68%
